X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-75.1636341891681,40.053862669122,1,Awbury Park and Recreation Center,604,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0075107483677,40.1228431723608,2,Daniel Boyle Memorial Recreation Center,1843,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1698319055514,40.0646864811466,3,Charles M Finley Playground,1989,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1747635378688,40.0022212258066,4,James Allen Shuler Playground,1878,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1715193626166,39.9421185311373,5,Marian Anderson Recreation Center,1901,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.238566006575,39.9566925841714,6,Howard Sayre Morris Recreation Center,1949,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1484956728207,39.9306960191885,7,Nelson M Herron Playground and Recreation Center,2898,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1574451414145,39.9229885760379,8,James Otis Ford Playground,958,NON_PPR_REC,S,Y,Y,,PAL Programs and Staffs,Programs 11/2022
-75.1012962526123,39.9864660108406,9,Frank Glavin Playground,1860,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1850912533597,39.9690547668111,10,Lloyd Hall Recreation Center,997,PPR_REC,B,Y,Y,,Located in East Fairmount Park,Programs 11/2022
-75.2332425072213,39.9952182485132,11,John C Anderson Cultural Center,3479,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2486170014688,39.9081610266846,12,William A Cibotti Recreation Center,498,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2317431949117,39.9152726003797,13,J Francis Finnegan Playground,95,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1787581327052,39.9159380001331,14,Commodore John Barry Playground,262,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1540698311632,39.9156417382743,15,Lawrence E Murphy Recreation Center,1919,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1730496072024,39.922873707902,16,Thomas I Guerin Recreation Center,1865,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.2401917418978,39.9261376815886,17,John J McCreesh Sr Playground,508,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1699623851432,39.9291400454535,18,A Giuseppe DiSilvestro Playground,228,PPR_REC,B,Y,N,,Mixed use building with CHOP/Free Library/Public Health/PPR,Programs 11/2022
-75.1888629475385,39.9313798785127,19,George A Vare Recreation Center,1966,PPR_REC,A,Y,Y,,Renovations Started in 2022.,Programs 11/2022
-75.1643497944257,39.9332542226274,20,Columbus Square,966,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1512140702178,39.9337904557686,21,Solomon Sacks Playground,1947,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1594820310657,39.9340058665181,22,Dr Nicola Capitolo Playground,501,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1929330875736,39.9377462186599,23,Donald P Finnegan Recreation Center,452,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1741810028866,39.9381682503192,24,Charles H Chew Jr Playground,268,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1508425914491,39.9378443627182,25,Weccacoe Square,1969,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.2098082917841,39.941956477993,26,48th and Woodland Playground,1804,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1584878528585,39.9413619390034,27,Walter Palumbo Recreation Center,1927,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2170125411486,39.9428484580162,28,Kingsessing Recreation Center,1886,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2344129706505,39.9488950145935,29,Albert W Christy Sr Recreation Center,1829,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1434601913825,39.9627506892972,30,Northern Liberties Recreation Center,1921,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2158173668384,39.9659803740685,31,Mill Creek Playground and Recreation Center,1911,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1679388200898,39.9657190564368,32,Roberto Clemente Playground,1831,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1956217828492,39.9674789707912,33,Miles Mack Playground,1910,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2503959725216,39.9693586480479,34,William T Granahan Playground,1864,PPR_REC,B,Y,N,,Located within Cobbs Creek Park,Programs 11/2022
-75.1671292948194,39.9684953776873,35,Francisville Recreation Center,1859,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2601531851071,39.9731281209534,36,Samuel Rose Recreation Center,1944,PPR_REC,C,Y,N,,Located with Cobbs Creek Park,Programs 11/2022
-75.2563004471617,39.9744581296902,37,Charles A Papa Playground,1929,PPR_REC,B,Y,N,,Located in Morris Park.,Programs 11/2022
-75.127804193671,39.9718519362137,38,Fishtown Recreation Center,1856,PPR_REC,A,Y,N,, ,Programs 11/2022
-75.1453480195181,39.9732354816872,39,Narcissa S Cruz Recreation Center,908,PPR_REC,B,Y,N,,Two Programmable Buildings on site.,Programs 11/2022
-75.2281120320227,39.9755166699724,40,Conestoga Community Playground,1982,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1323369643043,39.9775636116895,41,Dan Shissler Recreation Center,1844,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.240708907701,39.9818673517985,42,Ernest L Tustin Recreation Center,1965,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1699513144595,39.9808165317371,43,Dr Martin Luther King Jr Recreation Center,1985,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2265855331485,39.983261667864,44,Parkside Evans Recreation Center,1930,PPR_REC,B,Y,N,,Located within West Fairmount Park.,Programs 11/2022
-75.1602995904469,39.9817165943757,45,Fletcher B Amos Playground,1809,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1184312957035,39.9810103730566,46,Frederick Cione Playground,1830,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1070909161356,39.9821330722872,47,Thomas P Stokley Recreation Center,1959,PPR_REC,C,N,N,,Only PPR building is staff/storage building.,Programs 11/2022
-75.1474504480631,39.9832371708012,48,8th and Diamond Playground,1805,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1002275513721,39.9829802670479,49,Reverend M Monkiewicz Recreation Center,1913,PPR_REC,C,Y,N,,Site is split by I-95 ,Programs 11/2022
-75.1125569610739,39.984128616754,50,Cohocksink Recreation Center,1838,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1748485295623,39.9875900341127,51,Eric W (Hank) Gathers Jr Recreation Center,1852,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0970003048815,39.9906862441445,52,Bernard Samuel Playground,1948,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.149786675173,39.9968166414797,53,12th and Cambria Playground,1800,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0986566623997,39.9977050554547,54,Robert T Heitzman Recreation Center,1870,PPR_REC,A,Y,Y,, ,Programs 11/2022
