Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004
"1A","Census Tract 1A, Philadelphia County, Pennsylvania","140","4210100101000","42","101",582,581,1,0,99.83,0.17,0
"1B","Census Tract 1B, Philadelphia County, Pennsylvania","140","4210100102000","42","101",16378,16172,199,7,98.74,1.22,0.04
"1C","Census Tract 1C, Philadelphia County, Pennsylvania","140","4210100103000","42","101",19667,19415,251,1,98.72,1.28,0.01
"2A","Census Tract 2A, Philadelphia County, Pennsylvania","140","4210100201000","42","101",9818,8147,1669,2,82.98,17,0.02
"2B","Census Tract 2B, Philadelphia County, Pennsylvania","140","4210100202000","42","101",10876,10170,703,3,93.51,6.46,0.03
"2C","Census Tract 2C, Philadelphia County, Pennsylvania","140","4210100203000","42","101",1534,824,710,0,53.72,46.28,0
"3A","Census Tract 3A, Philadelphia County, Pennsylvania","140","4210100301000","42","101",10776,9520,1253,3,88.34,11.63,0.03
"3B","Census Tract 3B, Philadelphia County, Pennsylvania","140","4210100302000","42","101",2274,967,1306,1,42.52,57.43,0.04
"4A","Census Tract 4A, Philadelphia County, Pennsylvania","140","4210100401000","42","101",8588,7219,1367,2,84.06,15.92,0.02
"4B","Census Tract 4B, Philadelphia County, Pennsylvania","140","4210100402000","42","101",2175,386,1787,2,17.75,82.16,0.09
"5A","Census Tract 5A, Philadelphia County, Pennsylvania","140","4210100501000","42","101",7142,6371,759,12,89.2,10.63,0.17
"6A","Census Tract 6A, Philadelphia County, Pennsylvania","140","4210100601000","42","101",835,627,207,1,75.09,24.79,0.12
"7A","Census Tract 7A, Philadelphia County, Pennsylvania","140","4210100701000","42","101",5015,4506,493,16,89.85,9.83,0.32
"7B","Census Tract 7B, Philadelphia County, Pennsylvania","140","4210100702000","42","101",5412,1493,3906,13,27.59,72.17,0.24
"7C","Census Tract 7C, Philadelphia County, Pennsylvania","140","4210100703000","42","101",3607,3404,196,7,94.37,5.43,0.19
"7D","Census Tract 7D, Philadelphia County, Pennsylvania","140","4210100704000","42","101",5884,2276,3600,8,38.68,61.18,0.14
"8A","Census Tract 8A, Philadelphia County, Pennsylvania","140","4210100801000","42","101",2350,2294,55,1,97.62,2.34,0.04
"8B","Census Tract 8B, Philadelphia County, Pennsylvania","140","4210100802000","42","101",8255,7778,465,12,94.22,5.63,0.15
"9A","Census Tract 9A, Philadelphia County, Pennsylvania","140","4210100901000","42","101",243,234,9,0,96.3,3.7,0
"9B","Census Tract 9B, Philadelphia County, Pennsylvania","140","4210100902000","42","101",985,973,12,0,98.78,1.22,0
"10A","Census Tract 10A, Philadelphia County, Pennsylvania","140","4210101001000","42","101",4367,3783,314,270,86.63,7.19,6.18
"10B","Census Tract 10B, Philadelphia County, Pennsylvania","140","4210101002000","42","101",4288,4142,111,35,96.6,2.59,0.82
"11A","Census Tract 11A, Philadelphia County, Pennsylvania","140","4210101101000","42","101",2544,2218,322,4,87.19,12.66,0.16
"11B","Census Tract 11B, Philadelphia County, Pennsylvania","140","4210101102000","42","101",1196,831,364,1,69.48,30.43,0.08
"12A","Census Tract 12A, Philadelphia County, Pennsylvania","140","4210101201000","42","101",3569,2995,549,25,83.92,15.38,0.7
"12B","Census Tract 12B, Philadelphia County, Pennsylvania","140","4210101202000","42","101",2309,2015,294,0,87.27,12.73,0
"13A","Census Tract 13A, Philadelphia County, Pennsylvania","140","4210101301000","42","101",5849,3394,2441,14,58.03,41.73,0.24
"13B","Census Tract 13B, Philadelphia County, Pennsylvania","140","4210101302000","42","101",4878,3463,1405,10,70.99,28.8,0.21
"14A","Census Tract 14A, Philadelphia County, Pennsylvania","140","4210101401000","42","101",7406,3572,3814,20,48.23,51.5,0.27
"14B","Census Tract 14B, Philadelphia County, Pennsylvania","140","4210101402000","42","101",2307,1963,303,41,85.09,13.13,1.78
"15A","Census Tract 15A, Philadelphia County, Pennsylvania","140","4210101501000","42","101",15187,13620,1521,46,89.68,10.02,0.3
"15B","Census Tract 15B, Philadelphia County, Pennsylvania","140","4210101502000","42","101",2544,2325,209,10,91.39,8.22,0.39
"15C","Census Tract 15C, Philadelphia County, Pennsylvania","140","4210101503000","42","101",9713,7694,2014,5,79.21,20.74,0.05
"15D","Census Tract 15D, Philadelphia County, Pennsylvania","140","4210101504000","42","101",10678,10630,47,1,99.55,0.44,0.01
"15E","Census Tract 15E, Philadelphia County, Pennsylvania","140","4210101505000","42","101",5,3,2,0,60,40,0
"16A","Census Tract 16A, Philadelphia County, Pennsylvania","140","4210101601000","42","101",8157,7863,290,4,96.4,3.56,0.05
"17A","Census Tract 17A, Philadelphia County, Pennsylvania","140","4210101701000","42","101",10218,10048,161,9,98.34,1.58,0.09
"18A","Census Tract 18A, Philadelphia County, Pennsylvania","140","4210101801000","42","101",4740,4731,7,2,99.81,0.15,0.04
"18B","Census Tract 18B, Philadelphia County, Pennsylvania","140","4210101802000","42","101",7031,7028,3,0,99.96,0.04,0
"18C","Census Tract 18C, Philadelphia County, Pennsylvania","140","4210101803000","42","101",4028,4027,0,1,99.98,0,0.02
"18D","Census Tract 18D, Philadelphia County, Pennsylvania","140","4210101804000","42","101",4450,4450,0,0,100,0,0
"19A","Census Tract 19A, Philadelphia County, Pennsylvania","140","4210101901000","42","101",17128,16596,507,25,96.89,2.96,0.15
"19B","Census Tract 19B, Philadelphia County, Pennsylvania","140","4210101902000","42","101",10712,10564,135,13,98.62,1.26,0.12
"19C","Census Tract 19C, Philadelphia County, Pennsylvania","140","4210101903000","42","101",12854,12679,161,14,98.64,1.25,0.11
"20A","Census Tract 20A, Philadelphia County, Pennsylvania","140","4210102001000","42","101",14526,12068,2426,32,83.08,16.7,0.22
"20B","Census Tract 20B, Philadelphia County, Pennsylvania","140","4210102002000","42","101",11681,1759,9901,21,15.06,84.76,0.18
"20C","Census Tract 20C, Philadelphia County, Pennsylvania","140","4210102003000","42","101",2718,1055,1654,9,38.82,60.85,0.33
"20D","Census Tract 20D, Philadelphia County, Pennsylvania","140","4210102004000","42","101",11440,6490,4939,11,56.73,43.17,0.1
"21A","Census Tract 21A, Philadelphia County, Pennsylvania","140","4210102101000","42","101",955,928,27,0,97.17,2.83,0
"21B","Census Tract 21B, Philadelphia County, Pennsylvania","140","4210102102000","42","101",1039,1019,20,0,98.08,1.92,0
"21C","Census Tract 21C, Philadelphia County, Pennsylvania","140","4210102103000","42","101",53,53,0,0,100,0,0
"21D","Census Tract 21D, Philadelphia County, Pennsylvania","140","4210102104000","42","101",271,271,0,0,100,0,0
"21E","Census Tract 21E, Philadelphia County, Pennsylvania","140","4210102105000","42","101",311,308,3,0,99.04,0.96,0
"21F","Census Tract 21F, Philadelphia County, Pennsylvania","140","4210102106000","42","101",187,186,0,1,99.47,0,0.53
"21G","Census Tract 21G, Philadelphia County, Pennsylvania","140","4210102107000","42","101",279,279,0,0,100,0,0
"21H","Census Tract 21H, Philadelphia County, Pennsylvania","140","4210102108000","42","101",109,90,19,0,82.57,17.43,0
"21I","Census Tract 21I, Philadelphia County, Pennsylvania","140","4210102109000","42","101",175,175,0,0,100,0,0
"21J","Census Tract 21J, Philadelphia County, Pennsylvania","140","4210102110000","42","101",546,546,0,0,100,0,0
"21K","Census Tract 21K, Philadelphia County, Pennsylvania","140","4210102111000","42","101",237,233,4,0,98.31,1.69,0
"21L","Census Tract 21L, Philadelphia County, Pennsylvania","140","4210102112000","42","101",108,108,0,0,100,0,0
"21M","Census Tract 21M, Philadelphia County, Pennsylvania","140","4210102113000","42","101",334,334,0,0,100,0,0
"21N","Census Tract 21N, Philadelphia County, Pennsylvania","140","4210102114000","42","101",3769,3686,82,1,97.8,2.18,0.03
"21O","Census Tract 21O, Philadelphia County, Pennsylvania","140","4210102115000","42","101",1609,1609,0,0,100,0,0
"21P","Census Tract 21P, Philadelphia County, Pennsylvania","140","4210102116000","42","101",821,817,4,0,99.51,0.49,0
"21Q","Census Tract 21Q, Philadelphia County, Pennsylvania","140","4210102117000","42","101",2058,2023,33,2,98.3,1.6,0.1
"21R","Census Tract 21R, Philadelphia County, Pennsylvania","140","4210102118000","42","101",4985,4937,48,0,99.04,0.96,0
"21S","Census Tract 21S, Philadelphia County, Pennsylvania","140","4210102119000","42","101",7232,6785,447,0,93.82,6.18,0
"21T","Census Tract 21T, Philadelphia County, Pennsylvania","140","4210102120000","42","101",8202,8079,123,0,98.5,1.5,0
"21U","Census Tract 21U, Philadelphia County, Pennsylvania","140","4210102121000","42","101",1782,1781,1,0,99.94,0.06,0
"21V","Census Tract 21V, Philadelphia County, Pennsylvania","140","4210102122000","42","101",4317,4310,7,0,99.84,0.16,0
"22A","Census Tract 22A, Philadelphia County, Pennsylvania","140","4210102201000","42","101",6077,5656,420,1,93.07,6.91,0.02
"22B","Census Tract 22B, Philadelphia County, Pennsylvania","140","4210102202000","42","101",706,702,4,0,99.43,0.57,0
"22C","Census Tract 22C, Philadelphia County, Pennsylvania","140","4210102203000","42","101",758,756,2,0,99.74,0.26,0
"22D","Census Tract 22D, Philadelphia County, Pennsylvania","140","4210102204000","42","101",2823,2799,23,1,99.15,0.81,0.04
"22E","Census Tract 22E, Philadelphia County, Pennsylvania","140","4210102205000","42","101",2641,2602,36,3,98.52,1.36,0.11
"22F","Census Tract 22F, Philadelphia County, Pennsylvania","140","4210102206000","42","101",2749,2712,35,2,98.65,1.27,0.07
"22G","Census Tract 22G, Philadelphia County, Pennsylvania","140","4210102207000","42","101",2082,2036,46,0,97.79,2.21,0
"22H","Census Tract 22H, Philadelphia County, Pennsylvania","140","4210102208000","42","101",2065,2048,14,3,99.18,0.68,0.15
"22I","Census Tract 22I, Philadelphia County, Pennsylvania","140","4210102209000","42","101",867,833,30,4,96.08,3.46,0.46
"22J","Census Tract 22J, Philadelphia County, Pennsylvania","140","4210102210000","42","101",541,516,25,0,95.38,4.62,0
"22K","Census Tract 22K, Philadelphia County, Pennsylvania","140","4210102211000","42","101",26,26,0,0,100,0,0
"22L","Census Tract 22L, Philadelphia County, Pennsylvania","140","4210102212000","42","101",0,0,0,0,,,
"22M","Census Tract 22M, Philadelphia County, Pennsylvania","140","4210102213000","42","101",30,30,0,0,100,0,0
"22N","Census Tract 22N, Philadelphia County, Pennsylvania","140","4210102214000","42","101",105,104,1,0,99.05,0.95,0
"22O","Census Tract 22O, Philadelphia County, Pennsylvania","140","4210102215000","42","101",1176,1137,39,0,96.68,3.32,0
"22P","Census Tract 22P, Philadelphia County, Pennsylvania","140","4210102216000","42","101",1865,1761,104,0,94.42,5.58,0
"22Q","Census Tract 22Q, Philadelphia County, Pennsylvania","140","4210102217000","42","101",106,103,3,0,97.17,2.83,0
"22R","Census Tract 22R, Philadelphia County, Pennsylvania","140","4210102218000","42","101",1266,1210,56,0,95.58,4.42,0
"22S","Census Tract 22S, Philadelphia County, Pennsylvania","140","4210102219000","42","101",0,0,0,0,,,
"22T","Census Tract 22T, Philadelphia County, Pennsylvania","140","4210102220000","42","101",574,534,39,1,93.03,6.79,0.17
"22U","Census Tract 22U, Philadelphia County, Pennsylvania","140","4210102221000","42","101",4294,4260,31,3,99.21,0.72,0.07
"22V","Census Tract 22V, Philadelphia County, Pennsylvania","140","4210102222000","42","101",2127,2068,55,4,97.23,2.59,0.19
"22W","Census Tract 22W, Philadelphia County, Pennsylvania","140","4210102223000","42","101",2294,2211,83,0,96.38,3.62,0
"22X","Census Tract 22X, Philadelphia County, Pennsylvania","140","4210102224000","42","101",3533,3138,395,0,88.82,11.18,0
"22Y","Census Tract 22Y, Philadelphia County, Pennsylvania","140","4210102225000","42","101",6539,4855,1676,8,74.25,25.63,0.12
"22Z","Census Tract 22Z, Philadelphia County, Pennsylvania","140","4210102226000","42","101",8269,8099,170,0,97.94,2.06,0
"22AA","Census Tract 22AA, Philadelphia County, Pennsylvania","140","4210102227000","42","101",5040,4128,909,3,81.9,18.04,0.06
"22BB","Census Tract 22BB, Philadelphia County, Pennsylvania","140","4210102228000","42","101",1735,1667,67,1,96.08,3.86,0.06
"22CC","Census Tract 22CC, Philadelphia County, Pennsylvania","140","4210102229000","42","101",2163,2013,150,0,93.07,6.93,0
"22DD","Census Tract 22DD, Philadelphia County, Pennsylvania","140","4210102230000","42","101",1951,1418,533,0,72.68,27.32,0
"22EE","Census Tract 22EE, Philadelphia County, Pennsylvania","140","4210102231000","42","101",7308,5665,1635,8,77.52,22.37,0.11
"22FF","Census Tract 22FF, Philadelphia County, Pennsylvania","140","4210102232000","42","101",3474,3255,219,0,93.7,6.3,0
"22GG","Census Tract 22GG, Philadelphia County, Pennsylvania","140","4210102233000","42","101",7703,7356,343,4,95.5,4.45,0.05
"22HH","Census Tract 22HH, Philadelphia County, Pennsylvania","140","4210102234000","42","101",7559,6703,855,1,88.68,11.31,0.01
"22II","Census Tract 22II, Philadelphia County, Pennsylvania","140","4210102235000","42","101",7984,6440,1541,3,80.66,19.3,0.04
"22JJ","Census Tract 22JJ, Philadelphia County, Pennsylvania","140","4210102236000","42","101",5284,5278,3,3,99.89,0.06,0.06
"22KK","Census Tract 22KK, Philadelphia County, Pennsylvania","140","4210102237000","42","101",4369,3866,502,1,88.49,11.49,0.02
"23A","Census Tract 23A, Philadelphia County, Pennsylvania","140","4210102301000","42","101",1229,1229,0,0,100,0,0
"23B","Census Tract 23B, Philadelphia County, Pennsylvania","140","4210102302000","42","101",2309,2309,0,0,100,0,0
"23C","Census Tract 23C, Philadelphia County, Pennsylvania","140","4210102303000","42","101",1659,1658,1,0,99.94,0.06,0
"23D","Census Tract 23D, Philadelphia County, Pennsylvania","140","4210102304000","42","101",7652,7641,9,2,99.86,0.12,0.03
"23E","Census Tract 23E, Philadelphia County, Pennsylvania","140","4210102305000","42","101",6091,6069,18,4,99.64,0.3,0.07
"23F","Census Tract 23F, Philadelphia County, Pennsylvania","140","4210102306000","42","101",5376,5336,40,0,99.26,0.74,0
"23G","Census Tract 23G, Philadelphia County, Pennsylvania","140","4210102307000","42","101",8210,7120,1086,4,86.72,13.23,0.05
"23H","Census Tract 23H, Philadelphia County, Pennsylvania","140","4210102308000","42","101",5796,5770,25,1,99.55,0.43,0.02
"23I","Census Tract 23I, Philadelphia County, Pennsylvania","140","4210102309000","42","101",6362,6194,163,5,97.36,2.56,0.08
"23J","Census Tract 23J, Philadelphia County, Pennsylvania","140","4210102310000","42","101",936,925,11,0,98.82,1.18,0
"23K","Census Tract 23K, Philadelphia County, Pennsylvania","140","4210102311000","42","101",5460,5459,1,0,99.98,0.02,0
"24A","Census Tract 24A, Philadelphia County, Pennsylvania","140","4210102401000","42","101",566,554,12,0,97.88,2.12,0
"24B","Census Tract 24B, Philadelphia County, Pennsylvania","140","4210102402000","42","101",8602,8318,282,2,96.7,3.28,0.02
"24C","Census Tract 24C, Philadelphia County, Pennsylvania","140","4210102403000","42","101",12711,8305,4392,14,65.34,34.55,0.11
"24D","Census Tract 24D, Philadelphia County, Pennsylvania","140","4210102404000","42","101",12156,5498,6648,10,45.23,54.69,0.08
"24E","Census Tract 24E, Philadelphia County, Pennsylvania","140","4210102405000","42","101",5092,3853,1233,6,75.67,24.21,0.12
"24F","Census Tract 24F, Philadelphia County, Pennsylvania","140","4210102406000","42","101",9865,6651,3206,8,67.42,32.5,0.08
"24G","Census Tract 24G, Philadelphia County, Pennsylvania","140","4210102407000","42","101",4811,2241,2570,0,46.58,53.42,0
"25A","Census Tract 25A, Philadelphia County, Pennsylvania","140","4210102501000","42","101",11664,11644,3,17,99.83,0.03,0.15
"25B","Census Tract 25B, Philadelphia County, Pennsylvania","140","4210102502000","42","101",11653,11219,434,0,96.28,3.72,0
"25C","Census Tract 25C, Philadelphia County, Pennsylvania","140","4210102503000","42","101",16574,16564,0,10,99.94,0,0.06
"25D","Census Tract 25D, Philadelphia County, Pennsylvania","140","4210102504000","42","101",1067,1054,13,0,98.78,1.22,0
"26A","Census Tract 26A, Philadelphia County, Pennsylvania","140","4210102601000","42","101",3037,1090,1931,16,35.89,63.58,0.53
"26B","Census Tract 26B, Philadelphia County, Pennsylvania","140","4210102602000","42","101",8700,7356,1339,5,84.55,15.39,0.06
"26C","Census Tract 26C, Philadelphia County, Pennsylvania","140","4210102603000","42","101",10841,10374,461,6,95.69,4.25,0.06
"26D","Census Tract 26D, Philadelphia County, Pennsylvania","140","4210102604000","42","101",15342,13156,2164,22,85.75,14.11,0.14
"26E","Census Tract 26E, Philadelphia County, Pennsylvania","140","4210102605000","42","101",21148,21133,4,11,99.93,0.02,0.05
"26F","Census Tract 26F, Philadelphia County, Pennsylvania","140","4210102606000","42","101",1435,1416,19,0,98.68,1.32,0
"27A","Census Tract 27A, Philadelphia County, Pennsylvania","140","4210102701000","42","101",3470,2947,518,5,84.93,14.93,0.14
"27B","Census Tract 27B, Philadelphia County, Pennsylvania","140","4210102702000","42","101",5514,4685,824,5,84.97,14.94,0.09
"27C","Census Tract 27C, Philadelphia County, Pennsylvania","140","4210102703000","42","101",7289,6868,419,2,94.22,5.75,0.03
"27D","Census Tract 27D, Philadelphia County, Pennsylvania","140","4210102704000","42","101",2360,1459,900,1,61.82,38.14,0.04
"27E","Census Tract 27E, Philadelphia County, Pennsylvania","140","4210102705000","42","101",2338,1987,343,8,84.99,14.67,0.34
"28A","Census Tract 28A, Philadelphia County, Pennsylvania","140","4210102801000","42","101",11259,10713,520,26,95.15,4.62,0.23
"28B","Census Tract 28B, Philadelphia County, Pennsylvania","140","4210102802000","42","101",10672,4941,5729,2,46.3,53.68,0.02
"28C","Census Tract 28C, Philadelphia County, Pennsylvania","140","4210102803000","42","101",17059,13982,3071,6,81.96,18,0.04
"28D","Census Tract 28D, Philadelphia County, Pennsylvania","140","4210102804000","42","101",7315,7311,3,1,99.95,0.04,0.01
"28E","Census Tract 28E, Philadelphia County, Pennsylvania","140","4210102805000","42","101",3686,3445,230,11,93.46,6.24,0.3
"29A","Census Tract 29A, Philadelphia County, Pennsylvania","140","4210102901000","42","101",11488,7937,3543,8,69.09,30.84,0.07
"29B","Census Tract 29B, Philadelphia County, Pennsylvania","140","4210102902000","42","101",12,12,0,0,100,0,0
"29C","Census Tract 29C, Philadelphia County, Pennsylvania","140","4210102903000","42","101",10724,10589,128,7,98.74,1.19,0.07
"29D","Census Tract 29D, Philadelphia County, Pennsylvania","140","4210102904000","42","101",8439,3311,5127,1,39.23,60.75,0.01
"30A","Census Tract 30A, Philadelphia County, Pennsylvania","140","4210103001000","42","101",16554,785,15752,17,4.74,95.16,0.1
"30B","Census Tract 30B, Philadelphia County, Pennsylvania","140","4210103002000","42","101",11051,4604,6433,14,41.66,58.21,0.13
"31A","Census Tract 31A, Philadelphia County, Pennsylvania","140","4210103101000","42","101",12901,12896,1,4,99.96,0.01,0.03
"31B","Census Tract 31B, Philadelphia County, Pennsylvania","140","4210103102000","42","101",9855,9853,0,2,99.98,0,0.02
"31C","Census Tract 31C, Philadelphia County, Pennsylvania","140","4210103103000","42","101",3484,3484,0,0,100,0,0
"32A","Census Tract 32A, Philadelphia County, Pennsylvania","140","4210103201000","42","101",7437,2802,4548,87,37.68,61.15,1.17
"32B","Census Tract 32B, Philadelphia County, Pennsylvania","140","4210103202000","42","101",2301,1863,420,18,80.96,18.25,0.78
"32C","Census Tract 32C, Philadelphia County, Pennsylvania","140","4210103203000","42","101",10846,5198,5646,2,47.93,52.06,0.02
"32D","Census Tract 32D, Philadelphia County, Pennsylvania","140","4210103204000","42","101",14170,1486,12678,6,10.49,89.47,0.04
"32E","Census Tract 32E, Philadelphia County, Pennsylvania","140","4210103205000","42","101",15297,13608,1683,6,88.96,11,0.04
"32F","Census Tract 32F, Philadelphia County, Pennsylvania","140","4210103206000","42","101",11,11,0,0,100,0,0
"33A","Census Tract 33A, Philadelphia County, Pennsylvania","140","4210103301000","42","101",0,0,0,0,,,
"33B","Census Tract 33B, Philadelphia County, Pennsylvania","140","4210103302000","42","101",7429,7372,46,11,99.23,0.62,0.15
"33C","Census Tract 33C, Philadelphia County, Pennsylvania","140","4210103303000","42","101",2234,2234,0,0,100,0,0
"33D","Census Tract 33D, Philadelphia County, Pennsylvania","140","4210103304000","42","101",184,184,0,0,100,0,0
"33E","Census Tract 33E, Philadelphia County, Pennsylvania","140","4210103305000","42","101",552,503,49,0,91.12,8.88,0
"33F","Census Tract 33F, Philadelphia County, Pennsylvania","140","4210103306000","42","101",3290,3267,23,0,99.3,0.7,0
"33G","Census Tract 33G, Philadelphia County, Pennsylvania","140","4210103307000","42","101",12114,12091,13,10,99.81,0.11,0.08
"33H","Census Tract 33H, Philadelphia County, Pennsylvania","140","4210103308000","42","101",9230,9228,0,2,99.98,0,0.02
"33I","Census Tract 33I, Philadelphia County, Pennsylvania","140","4210103309000","42","101",15431,15407,1,23,99.84,0.01,0.15
"33J","Census Tract 33J, Philadelphia County, Pennsylvania","140","4210103310000","42","101",13703,13701,0,2,99.99,0,0.01
"33K","Census Tract 33K, Philadelphia County, Pennsylvania","140","4210103311000","42","101",2622,2620,0,2,99.92,0,0.08
"34A","Census Tract 34A, Philadelphia County, Pennsylvania","140","4210103401000","42","101",2167,2133,33,1,98.43,1.52,0.05
"34B","Census Tract 34B, Philadelphia County, Pennsylvania","140","4210103402000","42","101",1445,1387,58,0,95.99,4.01,0
"34C","Census Tract 34C, Philadelphia County, Pennsylvania","140","4210103403000","42","101",1454,1364,90,0,93.81,6.19,0
"34D","Census Tract 34D, Philadelphia County, Pennsylvania","140","4210103404000","42","101",3499,3458,40,1,98.83,1.14,0.03
"34E","Census Tract 34E, Philadelphia County, Pennsylvania","140","4210103405000","42","101",5175,5099,76,0,98.53,1.47,0
"34F","Census Tract 34F, Philadelphia County, Pennsylvania","140","4210103406000","42","101",7679,7583,96,0,98.75,1.25,0
"34G","Census Tract 34G, Philadelphia County, Pennsylvania","140","4210103407000","42","101",11,11,0,0,100,0,0
"34H","Census Tract 34H, Philadelphia County, Pennsylvania","140","4210103408000","42","101",15457,13524,1931,2,87.49,12.49,0.01
"34I","Census Tract 34I, Philadelphia County, Pennsylvania","140","4210103409000","42","101",19999,18056,1927,16,90.28,9.64,0.08
"34J","Census Tract 34J, Philadelphia County, Pennsylvania","140","4210103410000","42","101",2892,2790,102,0,96.47,3.53,0
"34K","Census Tract 34K, Philadelphia County, Pennsylvania","140","4210103411000","42","101",101,90,11,0,89.11,10.89,0
"34L","Census Tract 34L, Philadelphia County, Pennsylvania","140","4210103412000","42","101",5,5,0,0,100,0,0
"34M","Census Tract 34M, Philadelphia County, Pennsylvania","140","4210103413000","42","101",12516,12506,8,2,99.92,0.06,0.02
"34N","Census Tract 34N, Philadelphia County, Pennsylvania","140","4210103414000","42","101",90,89,1,0,98.89,1.11,0
"34O","Census Tract 34O, Philadelphia County, Pennsylvania","140","4210103415000","42","101",1,1,0,0,100,0,0
"34P","Census Tract 34P, Philadelphia County, Pennsylvania","140","4210103416000","42","101",13789,8809,4963,17,63.88,35.99,0.12
"34Q","Census Tract 34Q, Philadelphia County, Pennsylvania","140","4210103417000","42","101",13333,3381,9947,5,25.36,74.6,0.04
"35A","Census Tract 35A, Philadelphia County, Pennsylvania","140","4210103501000","42","101",235,220,15,0,93.62,6.38,0
"35B","Census Tract 35B, Philadelphia County, Pennsylvania","140","4210103502000","42","101",138,138,0,0,100,0,0
"35C","Census Tract 35C, Philadelphia County, Pennsylvania","140","4210103503000","42","101",6060,5075,981,4,83.75,16.19,0.07
"35D","Census Tract 35D, Philadelphia County, Pennsylvania","140","4210103504000","42","101",311,311,0,0,100,0,0
"35E","Census Tract 35E, Philadelphia County, Pennsylvania","140","4210103505000","42","101",473,473,0,0,100,0,0
"35F","Census Tract 35F, Philadelphia County, Pennsylvania","140","4210103506000","42","101",47,39,8,0,82.98,17.02,0
"35G","Census Tract 35G, Philadelphia County, Pennsylvania","140","4210103507000","42","101",338,337,1,0,99.7,0.3,0
"35H","Census Tract 35H, Philadelphia County, Pennsylvania","140","4210103508000","42","101",41,41,0,0,100,0,0
"35I","Census Tract 35I, Philadelphia County, Pennsylvania","140","4210103509000","42","101",116,115,1,0,99.14,0.86,0
"35J","Census Tract 35J, Philadelphia County, Pennsylvania","140","4210103510000","42","101",91,91,0,0,100,0,0
"35K","Census Tract 35K, Philadelphia County, Pennsylvania","140","4210103511000","42","101",267,261,6,0,97.75,2.25,0
"35L","Census Tract 35L, Philadelphia County, Pennsylvania","140","4210103512000","42","101",293,289,4,0,98.63,1.37,0
"35M","Census Tract 35M, Philadelphia County, Pennsylvania","140","4210103513000","42","101",160,159,1,0,99.38,0.62,0
"35N","Census Tract 35N, Philadelphia County, Pennsylvania","140","4210103514000","42","101",59,55,4,0,93.22,6.78,0
"35O","Census Tract 35O, Philadelphia County, Pennsylvania","140","4210103515000","42","101",69,64,5,0,92.75,7.25,0
"35P","Census Tract 35P, Philadelphia County, Pennsylvania","140","4210103516000","42","101",85,85,0,0,100,0,0
"35Q","Census Tract 35Q, Philadelphia County, Pennsylvania","140","4210103517000","42","101",1037,1037,0,0,100,0,0
"35R","Census Tract 35R, Philadelphia County, Pennsylvania","140","4210103518000","42","101",140,140,0,0,100,0,0
"35S","Census Tract 35S, Philadelphia County, Pennsylvania","140","4210103519000","42","101",462,435,27,0,94.16,5.84,0
"35T","Census Tract 35T, Philadelphia County, Pennsylvania","140","4210103520000","42","101",200,130,70,0,65,35,0
"35U","Census Tract 35U, Philadelphia County, Pennsylvania","140","4210103521000","42","101",218,218,0,0,100,0,0
"35V","Census Tract 35V, Philadelphia County, Pennsylvania","140","4210103522000","42","101",108,106,2,0,98.15,1.85,0
"35W","Census Tract 35W, Philadelphia County, Pennsylvania","140","4210103523000","42","101",631,630,1,0,99.84,0.16,0
"35X","Census Tract 35X, Philadelphia County, Pennsylvania","140","4210103524000","42","101",6,5,1,0,83.33,16.67,0
"35Y","Census Tract 35Y, Philadelphia County, Pennsylvania","140","4210103525000","42","101",1587,1584,3,0,99.81,0.19,0
"35Z","Census Tract 35Z, Philadelphia County, Pennsylvania","140","4210103526000","42","101",1717,1710,6,1,99.59,0.35,0.06
"35AA","Census Tract 35AA, Philadelphia County, Pennsylvania","140","4210103527000","42","101",333,333,0,0,100,0,0
"35BB","Census Tract 35BB, Philadelphia County, Pennsylvania","140","4210103528000","42","101",34,34,0,0,100,0,0
"35CC","Census Tract 35CC, Philadelphia County, Pennsylvania","140","4210103529000","42","101",896,896,0,0,100,0,0
"35DD","Census Tract 35DD, Philadelphia County, Pennsylvania","140","4210103530000","42","101",1340,1340,0,0,100,0,0
"35EE","Census Tract 35EE, Philadelphia County, Pennsylvania","140","4210103531000","42","101",466,466,0,0,100,0,0
"35FF","Census Tract 35FF, Philadelphia County, Pennsylvania","140","4210103532000","42","101",1895,1873,21,1,98.84,1.11,0.05
"35GG","Census Tract 35GG, Philadelphia County, Pennsylvania","140","4210103533000","42","101",4599,4598,1,0,99.98,0.02,0
"35HH","Census Tract 35HH, Philadelphia County, Pennsylvania","140","4210103534000","42","101",486,486,0,0,100,0,0
"35II","Census Tract 35II, Philadelphia County, Pennsylvania","140","4210103535000","42","101",119,119,0,0,100,0,0
"35JJ","Census Tract 35JJ, Philadelphia County, Pennsylvania","140","4210103536000","42","101",627,627,0,0,100,0,0
"35KK","Census Tract 35KK, Philadelphia County, Pennsylvania","140","4210103537000","42","101",3915,3914,0,1,99.97,0,0.03
